geboortejaar,premiepercentage
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.58
1957,4.19
1958,4.19
1959,4.19
1960,4.19
1961,4.41
1962,4.41
1963,4.41
1964,4.41
1965,4.41
1966,3.65
1967,3.65
1968,3.65
1969,3.65
1970,3.65
1971,3.19
1972,3.19
1973,3.19
1974,3.19
1975,3.19
1976,2.74
1977,2.74
1978,2.74
1979,2.74
1980,2.74
1981,2.46
1982,2.46
1983,2.46
1985,2.46
1985,2.46
1986,2.46
1987,2.46
1988,2.46
1989,2.46
1990,2.46
1991,2.06
1992,2.06
1993,2.06
1994,2.06
1995,2.06
1996,2.06
1997,2.06
1998,2.06
1999,2.06
2000,2.06
2001,2.06
2002,2.06
2003,2.06
2004,2.06
2005,2.06
